nam_hoc,mon_hoc,diem,so_hoc_sinh
2024,ngu_van,8.6,2
2024,ngu_van,8.63,1
2024,ngu_van,8.67,19
2024,ngu_van,8.7,2
2024,ngu_van,8.75,57111
2024,ngu_van,8.83,3
2024,ngu_van,8.92,1
2024,ngu_van,9.0,49253
2024,ngu_van,9.25,26758
2024,ngu_van,9.5,14197
2024,ngu_van,9.75,1843
2024,ngu_van,10.0,2
2025,ngu_van,0.0,10
2025,ngu_van,0.25,17
2025,ngu_van,0.5,29
2025,ngu_van,0.75,43
2025,ngu_van,1.0,26
2025,ngu_van,1.25,289
2025,ngu_van,1.5,349
2025,ngu_van,1.75,456
2025,ngu_van,2.0,838
2025,ngu_van,2.08,2
2025,ngu_van,2.25,1053
2025,ngu_van,2.33,5
2025,ngu_van,2.42,1
2025,ngu_van,2.5,1646
2025,ngu_van,2.58,2
2025,ngu_van,2.66,1
2025,ngu_van,2.67,2
2025,ngu_van,2.75,2068
2025,ngu_van,2.83,2
2025,ngu_van,2.92,1
2025,ngu_van,3.0,3340
2025,ngu_van,3.08,4
2025,ngu_van,3.17,8
2025,ngu_van,3.25,3735
2025,ngu_van,3.3,1
2025,ngu_van,3.33,9
2025,ngu_van,3.4,2
2025,ngu_van,3.41,2
2025,ngu_van,3.42,8
2025,ngu_van,3.5,5475
2025,ngu_van,3.58,10
2025,ngu_van,3.6,1
2025,ngu_van,3.66,1
2025,ngu_van,3.67,4
2025,ngu_van,3.75,6517
2025,ngu_van,3.83,13
2025,ngu_van,3.91,1
2025,ngu_van,3.92,20
2025,ngu_van,4.0,9709
2025,ngu_van,4.08,25
2025,ngu_van,4.09,1
2025,ngu_van,4.1,1
2025,ngu_van,4.16,3
2025,ngu_van,4.17,27
2025,ngu_van,4.2,1
2025,ngu_van,4.23,1
2025,ngu_van,4.25,10386
2025,ngu_van,4.26,1
2025,ngu_van,4.3,1
2025,ngu_van,4.33,29
2025,ngu_van,4.34,1
2025,ngu_van,4.41,2
2025,ngu_van,4.42,30
2025,ngu_van,4.5,14145
2025,ngu_van,4.55,1
2025,ngu_van,4.58,49
2025,ngu_van,4.6,2
2025,ngu_van,4.65,1
2025,ngu_van,4.66,6
2025,ngu_van,4.67,33
2025,ngu_van,4.7,1
2025,ngu_van,4.73,1
2025,ngu_van,4.75,13445
2025,ngu_van,4.8,2
2025,ngu_van,4.83,54
2025,ngu_van,4.9,2
2025,ngu_van,4.91,4
2025,ngu_van,4.92,53
2025,ngu_van,5.0,28423
2025,ngu_van,5.08,61
2025,ngu_van,5.1,1
2025,ngu_van,5.16,10
2025,ngu_van,5.17,60
2025,ngu_van,5.18,1
2025,ngu_van,5.2,3
2025,ngu_van,5.24,1
2025,ngu_van,5.25,25737
2025,ngu_van,5.3,3
2025,ngu_van,5.33,84
2025,ngu_van,5.4,3
2025,ngu_van,5.41,10
2025,ngu_van,5.42,81
2025,ngu_van,5.49,1
2025,ngu_van,5.5,34803
2025,ngu_van,5.56,1
2025,ngu_van,5.57,2
2025,ngu_van,5.58,108
2025,ngu_van,5.59,1
2025,ngu_van,5.6,2
2025,ngu_van,5.66,11
2025,ngu_van,5.67,118
2025,ngu_van,5.75,39533
2025,ngu_van,5.8,1
2025,ngu_van,5.82,1
2025,ngu_van,5.83,143
2025,ngu_van,5.84,2
2025,ngu_van,5.85,1
2025,ngu_van,5.88,1
2025,ngu_van,5.9,4
2025,ngu_van,5.91,11
2025,ngu_van,5.92,139
2025,ngu_van,5.93,1
2025,ngu_van,6.0,54342
2025,ngu_van,6.08,155
2025,ngu_van,6.09,1
2025,ngu_van,6.1,2
2025,ngu_van,6.16,15
2025,ngu_van,6.17,163
2025,ngu_van,6.2,3
2025,ngu_van,6.25,56713
2025,ngu_van,6.3,4
2025,ngu_van,6.32,1
2025,ngu_van,6.33,190
2025,ngu_van,6.34,4
2025,ngu_van,6.4,6
2025,ngu_van,6.41,19
2025,ngu_van,6.42,187
2025,ngu_van,6.5,72612
2025,ngu_van,6.55,2
2025,ngu_van,6.58,208
2025,ngu_van,6.59,2
2025,ngu_van,6.6,2
2025,ngu_van,6.65,1
2025,ngu_van,6.66,22
2025,ngu_van,6.67,182
2025,ngu_van,6.7,4
2025,ngu_van,6.73,1
2025,ngu_van,6.74,1
2025,ngu_van,6.75,77238
2025,ngu_van,6.8,4
2025,ngu_van,6.81,1
2025,ngu_van,6.83,201
2025,ngu_van,6.84,1
2025,ngu_van,6.85,1
2025,ngu_van,6.88,1
2025,ngu_van,6.9,1
