nam_hoc,mon_hoc,diem,so_hoc_sinh
2024,lich_su,3.75,8333
2024,lich_su,4.0,11241
2024,lich_su,4.25,14801
2024,lich_su,4.5,18562
2024,lich_su,4.75,22790
2024,lich_su,5.0,27004
2024,lich_su,5.25,31628
2024,lich_su,5.5,35434
2024,lich_su,5.75,38932
2024,lich_su,6.0,42223
2024,lich_su,6.25,44411
2024,lich_su,6.5,46091
2024,lich_su,6.75,46238
2024,lich_su,7.0,45469
2024,lich_su,7.25,43066
2024,lich_su,7.5,39378
2024,lich_su,7.75,35701
2024,lich_su,8.0,31363
2024,lich_su,8.25,26577
2024,lich_su,8.5,21979
2024,lich_su,8.75,17729
2024,lich_su,9.0,14175
2024,lich_su,9.25,11038
2024,lich_su,9.5,8153
2024,lich_su,9.75,5411
2024,lich_su,10.0,2108
2025,lich_su,0.0,9
2025,lich_su,0.25,3
2025,lich_su,0.5,1
2025,lich_su,0.6,1
2025,lich_su,0.75,2
2025,lich_su,0.85,1
2025,lich_su,1.0,5
2025,lich_su,1.05,1
2025,lich_su,1.1,2
2025,lich_su,1.2,2
2025,lich_su,1.25,7
2025,lich_su,1.3,4
2025,lich_su,1.35,11
2025,lich_su,1.4,2
2025,lich_su,1.45,12
2025,lich_su,1.5,27
2025,lich_su,1.55,7
2025,lich_su,1.6,39
2025,lich_su,1.65,3
2025,lich_su,1.7,47
2025,lich_su,1.75,52
2025,lich_su,1.8,19
2025,lich_su,1.85,73
2025,lich_su,1.9,2
2025,lich_su,1.95,96
2025,lich_su,2.0,105
2025,lich_su,2.05,42
2025,lich_su,2.1,192
2025,lich_su,2.15,1
2025,lich_su,2.2,177
2025,lich_su,2.25,211
2025,lich_su,2.3,58
2025,lich_su,2.35,405
2025,lich_su,2.4,5
2025,lich_su,2.45,322
2025,lich_su,2.5,411
2025,lich_su,2.55,93
2025,lich_su,2.6,704
2025,lich_su,2.65,10
2025,lich_su,2.7,474
2025,lich_su,2.75,646
2025,lich_su,2.8,133
2025,lich_su,2.85,1200
2025,lich_su,2.9,6
2025,lich_su,2.95,685
2025,lich_su,3.0,1140
2025,lich_su,3.05,147
2025,lich_su,3.1,1787
2025,lich_su,3.15,11
2025,lich_su,3.2,956
2025,lich_su,3.25,1804
2025,lich_su,3.3,172
2025,lich_su,3.35,2615
